 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos maternosÓbitos maternos tardios por Município
Período:1996-2021
"Município";"Óbitos_maternos";"Óbitos_maternos_tardios"
"316560 SENADOR CORTES";1;-
"316570 SENADOR FIRMINO";1;-
"316580 SENADOR JOSE BENTO";-;-
"316590 SENADOR MODESTINO GONCALVES";2;-
"316600 SENHORA DE OLIVEIRA";-;-
"316610 SENHORA DO PORTO";1;-
"316620 SENHORA DOS REMEDIOS";1;-
"316630 SERICITA";1;-
"316640 SERITINGA";-;-
"316650 SERRA AZUL DE MINAS";-;-
"316660 SERRA DA SAUDADE";-;-
"316670 SERRA DOS AIMORES";3;-
"316680 SERRA DO SALITRE";-;-
"316690 SERRANIA";1;-
"316695 SERRANOPOLIS DE MINAS";3;-
"316700 SERRANOS";-;-
"316710 SERRO";2;-
"316720 SETE LAGOAS";37;1
"316730 SILVEIRANIA";2;-
"316740 SILVIANOPOLIS";1;-
"316750 SIMAO PEREIRA";-;-
"316760 SIMONESIA";3;-
"316770 SOBRALIA";2;-
"316780 SOLEDADE DE MINAS";-;-
"316790 TABULEIRO";-;-
"316800 TAIOBEIRAS";10;1
"316805 TAPARUBA";-;-
"316810 TAPIRA";1;-
"316820 TAPIRAI";-;-
"316830 TAQUARACU DE MINAS";-;-
"316840 TARUMIRIM";6;-
"316850 TEIXEIRAS";1;-
"316860 TEOFILO OTONI";45;-
"316870 TIMOTEO";11;-
"316880 TIRADENTES";1;-
"316890 TIROS";-;-
"316900 TOCANTINS";-;-
"316905 TOCOS DO MOJI";-;-
"316910 TOLEDO";1;-
"316920 TOMBOS";1;-
"316930 TRES CORACOES";14;-
"316935 TRES MARIAS";2;1
"316940 TRES PONTAS";7;-
"316950 TUMIRITINGA";2;-
"316960 TUPACIGUARA";3;-
"316970 TURMALINA";1;1
"316980 TURVOLANDIA";1;-
"316990 UBA";11;-
"317000 UBAI";1;-
"317005 UBAPORANGA";-;-
"317010 UBERABA";49;-
"317020 UBERLANDIA";72;2
"317030 UMBURATIBA";-;-
"317040 UNAI";13;2
"317043 UNIAO DE MINAS";-;-
"317047 URUANA DE MINAS";-;-
"317050 URUCANIA";1;-
"317052 URUCUIA";3;-
"317057 VARGEM ALEGRE";1;-
"317060 VARGEM BONITA";-;-
"317065 VARGEM GRANDE DO RIO PARDO";-;-
"317070 VARGINHA";23;-
"317075 VARJAO DE MINAS";1;-
"317080 VARZEA DA PALMA";9;-
"317090 VARZELANDIA";4;-
"317100 VAZANTE";3;-
"317103 VERDELANDIA";4;-
"317107 VEREDINHA";-;-
"317110 VERISSIMO";-;-
"317115 VERMELHO NOVO";1;-
"317120 VESPASIANO";13;1
"317130 VICOSA";14;-
"317140 VIEIRAS";-;-
"317150 MATHIAS LOBATO";1;-
"317160 VIRGEM DA LAPA";6;-
"317170 VIRGINIA";1;-
"317180 VIRGINOPOLIS";2;-
"317190 VIRGOLANDIA";2;-
"317200 VISCONDE DO RIO BRANCO";10;-
"317210 VOLTA GRANDE";2;-
"317220 WENCESLAU BRAZ";-;-
" MUNICIPIO IGNORADO - ES";3;-
"320010 AFONSO CLAUDIO";7;-
"320013 AGUIA BRANCA";2;-
"320016 AGUA DOCE DO NORTE";3;1
"320020 ALEGRE";5;-
"320030 ALFREDO CHAVES";1;-
"320035 ALTO RIO NOVO";2;-
"320040 ANCHIETA";3;1
"320050 APIACA";2;-
"320060 ARACRUZ";20;1
"320070 ATILIO VIVACQUA";-;-
"320080 BAIXO GUANDU";7;2
"320090 BARRA DE SAO FRANCISCO";7;1
"320100 BOA ESPERANCA";5;-
"320110 BOM JESUS DO NORTE";3;-
"320115 BREJETUBA";2;-
"320120 CACHOEIRO DE ITAPEMIRIM";41;6
"320130 CARIACICA";101;8
"320140 CASTELO";2;-
"320150 COLATINA";23;2
"320160 CONCEICAO DA BARRA";7;-
"320170 CONCEICAO DO CASTELO";3;-
"320180 DIVINO DE SAO LOURENCO";-;-
"320190 DOMINGOS MARTINS";3;-
"320200 DORES DO RIO PRETO";1;-
"320210 ECOPORANGA";3;-
"320220 FUNDAO";3;-
"320225 GOVERNADOR LINDENBERG";1;1
"320230 GUACUI";9;1
"320240 GUARAPARI";31;5
"320245 IBATIBA";3;3
"320250 IBIRACU";1;-
"320255 IBITIRAMA";2;-
"320260 ICONHA";3;-
"320265 IRUPI";1;2
"320270 ITAGUACU";3;1
"320280 ITAPEMIRIM";1;-
"320290 ITARANA";-;-
"320300 IUNA";11;1
"320305 JAGUARE";8;2
"320310 JERONIMO MONTEIRO";2;-
"320313 JOAO NEIVA";3;-
"320316 LARANJA DA TERRA";2;1
"320320 LINHARES";35;7
"320330 MANTENOPOLIS";4;1
"320332 MARATAIZES";6;-
"320334 MARECHAL FLORIANO";2;-
"320335 MARILANDIA";2;-
"320340 MIMOSO DO SUL";3;-
"320350 MONTANHA";7;2
"320360 MUCURICI";3;-
"320370 MUNIZ FREIRE";2;1
"320380 MUQUI";6;-
"320390 NOVA VENECIA";7;-
"320400 PANCAS";6;-
"320405 PEDRO CANARIO";10;2
"320410 PINHEIROS";7;1
"320420 PIUMA";4;1
"320425 PONTO BELO";1;-
"320430 PRESIDENTE KENNEDY";3;-
"320435 RIO BANANAL";1;1
"320440 RIO NOVO DO SUL";2;-
"320450 SANTA LEOPOLDINA";1;-
"320455 SANTA MARIA DE JETIBA";1;1
"320460 SANTA TERESA";7;1
"320465 SAO DOMINGOS DO NORTE";1;1
"320470 SAO GABRIEL DA PALHA";8;-
"320480 SAO JOSE DO CALCADO";2;-
"320490 SAO MATEUS";30;1
"320495 SAO ROQUE DO CANAA";2;-
"320500 SERRA";111;21
"320501 SOORETAMA";5;1
"320503 VARGEM ALTA";2;1
"320506 VENDA NOVA DO IMIGRANTE";4;-
"320510 VIANA";14;-
"320515 VILA PAVAO";2;-
"320517 VILA VALERIO";2;-
"320520 VILA VELHA";86;10
"320530 VITORIA";56;14
" MUNICIPIO IGNORADO - RJ";15;-
"330010 ANGRA DOS REIS";36;2
"330015 APERIBE";2;-
"330020 ARARUAMA";28;-
"330022 AREAL";4;-
"330023 ARMACAO DOS BUZIOS";3;1
"330025 ARRAIAL DO CABO";10;-
"330030 BARRA DO PIRAI";30;-
"330040 BARRA MANSA";65;5
"330045 BELFORD ROXO";195;12
"330050 BOM JARDIM";5;-
"330060 BOM JESUS DO ITABAPOANA";6;1
"330070 CABO FRIO";54;3
"330080 CACHOEIRAS DE MACACU";13;-
"330090 CAMBUCI";4;-
"330093 CARAPEBUS";2;-
"330095 COMENDADOR LEVY GASPARIAN";1;-
"330100 CAMPOS DOS GOYTACAZES";193;5
"330110 CANTAGALO";8;-
"330115 CARDOSO MOREIRA";3;-
"330120 CARMO";7;-
"330130 CASIMIRO DE ABREU";11;-
"330140 CONCEICAO DE MACABU";2;1
"330150 CORDEIRO";8;-
"330160 DUAS BARRAS";2;1
"330170 DUQUE DE CAXIAS";338;38
"330180 ENGENHEIRO PAULO DE FRONTIN";4;-
"330185 GUAPIMIRIM";16;2
"330187 IGUABA GRANDE";6;-
"330190 ITABORAI";72;6
"330200 ITAGUAI";30;6
"330205 ITALVA";2;-
"330210 ITAOCARA";6;-
"330220 ITAPERUNA";23;2
"330225 ITATIAIA";9;1
"330227 JAPERI";44;4
"330230 LAJE DO MURIAE";-;-
"330240 MACAE";51;2
"330245 MACUCO";8;-
"330250 MAGE";88;3
"330260 MANGARATIBA";10;-
"330270 MARICA";35;-
"330280 MENDES";3;1
"330285 MESQUITA";45;6
"330290 MIGUEL PEREIRA";6;-
"330300 MIRACEMA";5;1
"330310 NATIVIDADE";3;-
"330320 NILOPOLIS";40;5
"330330 NITEROI";99;3
"330340 NOVA FRIBURGO";37;4
"330350 NOVA IGUACU";328;24
"330360 PARACAMBI";7;3
"330370 PARAIBA DO SUL";12;1
"330380 PARATY";11;-
"330385 PATY DO ALFERES";9;-
"330390 PETROPOLIS";94;5
"330395 PINHEIRAL";10;-
"330400 PIRAI";11;1
"330410 PORCIUNCULA";4;-
"330411 PORTO REAL";6;3
"330412 QUATIS";1;1
"330414 QUEIMADOS";58;3
"330415 QUISSAMA";5;1
"330420 RESENDE";37;1
"330430 RIO BONITO";10;1
"330440 RIO CLARO";3;-
"330450 RIO DAS FLORES";3;-
"330452 RIO DAS OSTRAS";32;3
"330455 RIO DE JANEIRO";1575;276
"330460 SANTA MARIA MADALENA";3;-
"330470 SANTO ANTONIO DE PADUA";12;-
"330475 SAO FRANCISCO DE ITABAPOANA";10;-
"330480 SAO FIDELIS";8;1
"330490 SAO GONCALO";227;6
"330500 SAO JOAO DA BARRA";12;-
"330510 SAO JOAO DE MERITI";145;13
"330513 SAO JOSE DE UBA";-;-
"330515 SAO JOSE DO VALE DO RIO PRETO";3;-
"330520 SAO PEDRO DA ALDEIA";19;-
"330530 SAO SEBASTIAO DO ALTO";1;-
"330540 SAPUCAIA";4;-
"330550 SAQUAREMA";25;1
"330555 SEROPEDICA";20;2
"330560 SILVA JARDIM";7;1
"330570 SUMIDOURO";3;1
"330575 TANGUA";11;1
"330580 TERESOPOLIS";45;2
"330590 TRAJANO DE MORAES";6;-
"330600 TRES RIOS";38;4
"330610 VALENCA";25;1
"330615 VARRE-SAI";1;1
"330620 VASSOURAS";10;2
"330630 VOLTA REDONDA";71;3
" MUNICIPIO IGNORADO - SP";4;-
"350010 ADAMANTINA";4;-
"350020 ADOLFO";1;-
"350030 AGUAI";6;1
"350040 AGUAS DA PRATA";2;-
"350050 AGUAS DE LINDOIA";2;-
"350055 AGUAS DE SANTA BARBARA";-;-
"350060 AGUAS DE SAO PEDRO";-;-
"350070 AGUDOS";3;-
"350075 ALAMBARI";1;-
"350080 ALFREDO MARCONDES";2;-
"350090 ALTAIR";1;-
"350100 ALTINOPOLIS";-;-
"350110 ALTO ALEGRE";-;-
"350115 ALUMINIO";3;2
"350120 ALVARES FLORENCE";1;-
"350130 ALVARES MACHADO";1;-
"350140 ALVARO DE CARVALHO";1;-
"350150 ALVINLANDIA";2;-
"350160 AMERICANA";16;1
"350170 AMERICO BRASILIENSE";8;-
"350180 AMERICO DE CAMPOS";-;-
"350190 AMPARO";5;-
"350200 ANALANDIA";2;-
"350210 ANDRADINA";10;-
"350220 ANGATUBA";6;-
"350230 ANHEMBI";2;-
"350240 ANHUMAS";-;-
"350250 APARECIDA";8;-
"350260 APARECIDA D'OESTE";2;-
"350270 APIAI";10;-
"350275 ARACARIGUAMA";3;-
"350280 ARACATUBA";19;-
"350290 ARACOIABA DA SERRA";6;1
"350300 ARAMINA";-;-
"350310 ARANDU";-;-
"350315 ARAPEI";-;-
"350320 ARARAQUARA";37;4
"350330 ARARAS";30;-
"350335 ARCO-IRIS";-;-
"350340 AREALVA";1;-
"350350 AREIAS";-;-
"350360 AREIOPOLIS";1;-
"350370 ARIRANHA";-;-
"350380 ARTUR NOGUEIRA";5;-
"350390 ARUJA";10;-
"350395 ASPASIA";-;-
"350400 ASSIS";7;-
"350410 ATIBAIA";22;-
"350420 AURIFLAMA";5;-
"350430 AVAI";1;-
"350440 AVANHANDAVA";-;-
"350450 AVARE";6;1
"350460 BADY BASSITT";2;-
"350470 BALBINOS";-;-
"350480 BALSAMO";1;-
"350490 BANANAL";1;-
"350500 BARAO DE ANTONINA";2;-
"350510 BARBOSA";2;-
"350520 BARIRI";2;-
"350530 BARRA BONITA";2;-
"350535 BARRA DO CHAPEU";-;-
"350540 BARRA DO TURVO";4;-
"350550 BARRETOS";18;-
"350560 BARRINHA";4;-
"350570 BARUERI";41;-
"350580 BASTOS";6;-
"350590 BATATAIS";10;-
"350600 BAURU";50;7
"350610 BEBEDOURO";15;-
"350620 BENTO DE ABREU";-;-
"350630 BERNARDINO DE CAMPOS";1;-
"350635 BERTIOGA";16;-
"350640 BILAC";-;-
"350650 BIRIGUI";10;-
"350660 BIRITIBA-MIRIM";5;-
"350670 BOA ESPERANCA DO SUL";3;-
"350680 BOCAINA";1;-
"350690 BOFETE";3;-
"350700 BOITUVA";12;1
"350710 BOM JESUS DOS PERDOES";1;-
"350715 BOM SUCESSO DE ITARARE";2;-
"350720 BORA";-;-
"350730 BORACEIA";-;-
"350740 BORBOREMA";3;-
"350745 BOREBI";1;-
"350750 BOTUCATU";20;-
"350760 BRAGANCA PAULISTA";19;-
"350770 BRAUNA";-;-
"350775 BREJO ALEGRE";-;-
"350780 BRODOWSKI";5;1
"350790 BROTAS";7;-
"350800 BURI";5;-
"350810 BURITAMA";1;-
"350820 BURITIZAL";-;-
"350830 CABRALIA PAULISTA";1;-
"350840 CABREUVA";10;-
"350850 CACAPAVA";10;-
"350860 CACHOEIRA PAULISTA";9;-
"350870 CACONDE";3;-
"350880 CAFELANDIA";3;-
"350890 CAIABU";-;-
"350900 CAIEIRAS";11;-
"350910 CAIUA";-;-
"350920 CAJAMAR";11;-
"350925 CAJATI";5;1
"350930 CAJOBI";3;-
"350940 CAJURU";8;-
"350945 CAMPINA DO MONTE ALEGRE";-;-
"350950 CAMPINAS";120;8
"350960 CAMPO LIMPO PAULISTA";13;-
"350970 CAMPOS DO JORDAO";10;-
"350980 CAMPOS NOVOS PAULISTA";1;-
"350990 CANANEIA";2;-
"350995 CANAS";-;-
"351000 CANDIDO MOTA";4;-
"351010 CANDIDO RODRIGUES";1;-
"351015 CANITAR";2;-
"351020 CAPAO BONITO";11;1
"351030 CAPELA DO ALTO";3;-
"351040 CAPIVARI";5;1
"351050 CARAGUATATUBA";25;-
"351060 CARAPICUIBA";63;-
"351070 CARDOSO";1;-
"351080 CASA BRANCA";5;-
"351090 CASSIA DOS COQUEIROS";-;-
"351100 CASTILHO";3;-
"351110 CATANDUVA";14;3
"351120 CATIGUA";4;-
"351130 CEDRAL";-;-
"351140 CERQUEIRA CESAR";3;-
"351150 CERQUILHO";7;-
"351160 CESARIO LANGE";1;-
"351170 CHARQUEADA";4;-
"351190 CLEMENTINA";-;-
"351200 COLINA";2;-
"351210 COLOMBIA";1;-
"351220 CONCHAL";5;-
"351230 CONCHAS";-;1
"351240 CORDEIROPOLIS";3;-
"351250 COROADOS";-;-
"351260 CORONEL MACEDO";1;-
"351270 CORUMBATAI";2;1
"351280 COSMOPOLIS";14;-
"351290 COSMORAMA";1;-
"351300 COTIA";31;-
"351310 CRAVINHOS";7;-
"351320 CRISTAIS PAULISTA";1;1
"351330 CRUZALIA";2;-
"351340 CRUZEIRO";17;-
"351350 CUBATAO";51;3
"351360 CUNHA";7;-
"351370 DESCALVADO";2;1
"351380 DIADEMA";66;-
"351385 DIRCE REIS";-;-
"351390 DIVINOLANDIA";-;-
"351400 DOBRADA";-;-
"351410 DOIS CORREGOS";3;-
"351420 DOLCINOPOLIS";1;-
"351430 DOURADO";-;-
"351440 DRACENA";6;-
"351450 DUARTINA";-;-
"351460 DUMONT";-;-
"351470 ECHAPORA";1;-
"351480 ELDORADO";3;-
"351490 ELIAS FAUSTO";2;-
"351492 ELISIARIO";2;-
"351495 EMBAUBA";1;-
"351500 EMBU DAS ARTES";48;2
"351510 EMBU-GUACU";12;-
"351512 EMILIANOPOLIS";-;-
"351515 ENGENHEIRO COELHO";6;-
"351518 ESPIRITO SANTO DO PINHAL";3;-
"351519 ESPIRITO SANTO DO TURVO";4;-
"351520 ESTRELA D'OESTE";1;-
"351530 ESTRELA DO NORTE";-;-
"351535 EUCLIDES DA CUNHA PAULISTA";2;-
"351540 FARTURA";1;-
"351550 FERNANDOPOLIS";5;1
"351560 FERNANDO PRESTES";-;-
"351565 FERNAO";1;-
"351570 FERRAZ DE VASCONCELOS";37;-
"351580 FLORA RICA";-;-
"351590 FLOREAL";1;-
"351600 FLORIDA PAULISTA";2;-
"351610 FLORINIA";-;-
"351620 FRANCA";47;-
"351630 FRANCISCO MORATO";44;-
"351640 FRANCO DA ROCHA";30;1
"351650 GABRIEL MONTEIRO";1;-
"351660 GALIA";3;-
"351670 GARCA";13;1
"351680 GASTAO VIDIGAL";-;-
"351685 GAVIAO PEIXOTO";-;-
"351690 GENERAL SALGADO";5;-
"351700 GETULINA";1;-
"351710 GLICERIO";-;-
"351720 GUAICARA";1;1
"351730 GUAIMBE";-;-
"351740 GUAIRA";4;-
"351750 GUAPIACU";4;-
"351760 GUAPIARA";5;-
"351770 GUARA";8;-
"351780 GUARACAI";2;-
"351790 GUARACI";2;-
"351800 GUARANI D'OESTE";-;-
"351810 GUARANTA";4;-
"351820 GUARARAPES";4;-
"351830 GUARAREMA";2;-
"351840 GUARATINGUETA";17;1
"351850 GUAREI";-;-
"351860 GUARIBA";9;-
"351870 GUARUJA";81;1
"351880 GUARULHOS";311;49
"351885 GUATAPARA";-;-
"351890 GUZOLANDIA";-;-
"351900 HERCULANDIA";3;-
"351905 HOLAMBRA";1;-
"351907 HORTOLANDIA";29;-
"351910 IACANGA";3;-
"351920 IACRI";1;-
"351925 IARAS";1;-
"351930 IBATE";4;1
"351940 IBIRA";1;-
"351950 IBIRAREMA";1;1
"351960 IBITINGA";8;-
"351970 IBIUNA";21;-
"351980 ICEM";-;-
"351990 IEPE";-;-
"352000 IGARACU DO TIETE";4;-
"352010 IGARAPAVA";4;-
"352020 IGARATA";2;-
"352030 IGUAPE";4;-
"352040 ILHABELA";10;-
"352042 ILHA COMPRIDA";-;-
"352044 ILHA SOLTEIRA";-;-
"352050 INDAIATUBA";20;-
"352060 INDIANA";2;-
"352070 INDIAPORA";-;-
"352080 INUBIA PAULISTA";-;-
"352090 IPAUSSU";4;-
"352100 IPERO";5;-
"352110 IPEUNA";1;-
"352115 IPIGUA";-;-
"352120 IPORANGA";-;-
"352130 IPUA";-;-
"352140 IRACEMAPOLIS";3;-
"352150 IRAPUA";-;-
"352160 IRAPURU";2;-
"352170 ITABERA";4;-
"352180 ITAI";5;-
"352190 ITAJOBI";-;-
"352200 ITAJU";-;-
"352210 ITANHAEM";32;1
"352215 ITAOCA";2;-
"352220 ITAPECERICA DA SERRA";28;-
"352230 ITAPETININGA";18;1
"352240 ITAPEVA";26;-
"352250 ITAPEVI";32;1
"352260 ITAPIRA";16;-
"352265 ITAPIRAPUA PAULISTA";3;-
"352270 ITAPOLIS";2;-
"352280 ITAPORANGA";5;-
"352290 ITAPUI";-;-
"352300 ITAPURA";-;-
"352310 ITAQUAQUECETUBA";69;1
"352320 ITARARE";12;-
"352330 ITARIRI";4;-
"352340 ITATIBA";12;-
"352350 ITATINGA";4;-
"352360 ITIRAPINA";1;-
"352370 ITIRAPUA";-;-
"352380 ITOBI";2;-
"352390 ITU";24;1
"352400 ITUPEVA";7;-
"352410 ITUVERAVA";3;1
"352420 JABORANDI";2;-
"352430 JABOTICABAL";12;-
"352440 JACAREI";28;-
"352450 JACI";-;-
"352460 JACUPIRANGA";4;-
"352470 JAGUARIUNA";3;-
"352480 JALES";6;-
"352490 JAMBEIRO";-;-
"352500 JANDIRA";21;-
"352510 JARDINOPOLIS";8;-
"352520 JARINU";6;-
"352530 JAU";23;-
"352540 JERIQUARA";-;-
"352550 JOANOPOLIS";1;-
"352560 JOAO RAMALHO";3;-
"352570 JOSE BONIFACIO";3;-
"352580 JULIO MESQUITA";2;-
"352585 JUMIRIM";-;-
"352590 JUNDIAI";40;2
"352600 JUNQUEIROPOLIS";1;-
"352610 JUQUIA";2;-
"352620 JUQUITIBA";6;-
"352630 LAGOINHA";-;-
"352640 LARANJAL PAULISTA";5;-
"352650 LAVINIA";-;-
"352660 LAVRINHAS";-;-
"352670 LEME";26;1
"352680 LENCOIS PAULISTA";8;-
"352690 LIMEIRA";73;2
"352700 LINDOIA";1;-
"352710 LINS";14;-
"352720 LORENA";10;-
"352725 LOURDES";-;-
"352730 LOUVEIRA";5;1
"352740 LUCELIA";2;-
"352750 LUCIANOPOLIS";1;-
"352760 LUIS ANTONIO";1;-
"352770 LUIZIANIA";1;-
"352780 LUPERCIO";-;-
"352790 LUTECIA";1;-
"352800 MACATUBA";1;-
"352810 MACAUBAL";-;-
"352820 MACEDONIA";2;-
"352830 MAGDA";-;-
"352840 MAIRINQUE";16;1
"352850 MAIRIPORA";17;-
"352860 MANDURI";1;-
"352870 MARABA PAULISTA";-;-
"352880 MARACAI";-;-
"352885 MARAPOAMA";-;-
"352890 MARIAPOLIS";-;-
"352900 MARILIA";41;2
"352910 MARINOPOLIS";-;-
"352920 MARTINOPOLIS";2;-
"352930 MATAO";8;1
"352940 MAUA";81;4
"352950 MENDONCA";-;-
"352960 MERIDIANO";1;-
"352965 MESOPOLIS";-;-
"352970 MIGUELOPOLIS";4;-
"352980 MINEIROS DO TIETE";4;-
"352990 MIRACATU";6;-
"353000 MIRA ESTRELA";1;-
"353010 MIRANDOPOLIS";1;-
"353020 MIRANTE DO PARANAPANEMA";5;-
"353030 MIRASSOL";6;1
"353040 MIRASSOLANDIA";-;-
"353050 MOCOCA";9;-
"353060 MOGI DAS CRUZES";91;6
"353070 MOGI GUACU";22;-
"353080 MOGI MIRIM";10;1
"353090 MOMBUCA";1;-
"353100 MONCOES";-;1
"353110 MONGAGUA";9;-
"353120 MONTE ALEGRE DO SUL";-;-
"353130 MONTE ALTO";5;-
"353140 MONTE APRAZIVEL";4;-
"353150 MONTE AZUL PAULISTA";2;1
"353160 MONTE CASTELO";-;-
"353170 MONTEIRO LOBATO";-;-
"353180 MONTE MOR";6;-
"353190 MORRO AGUDO";5;-
"353200 MORUNGABA";2;-
"353205 MOTUCA";1;-
"353210 MURUTINGA DO SUL";-;-
"353215 NANTES";-;-
"353220 NARANDIBA";-;-
"353230 NATIVIDADE DA SERRA";1;-
"353240 NAZARE PAULISTA";3;-
"353250 NEVES PAULISTA";1;-
"353260 NHANDEARA";3;-
"353270 NIPOA";1;-
"353280 NOVA ALIANCA";1;-
"353282 NOVA CAMPINA";2;-
"353284 NOVA CANAA PAULISTA";-;-
"353286 NOVA CASTILHO";-;-
"353290 NOVA EUROPA";1;-
"353300 NOVA GRANADA";-;-
"353310 NOVA GUATAPORANGA";-;-
"353320 NOVA INDEPENDENCIA";2;-
"353325 NOVAIS";1;-
"353330 NOVA LUZITANIA";-;-
"353340 NOVA ODESSA";9;-
"353350 NOVO HORIZONTE";2;-
"353360 NUPORANGA";-;-
"353370 OCAUCU";-;-
"353380 OLEO";-;-
"353390 OLIMPIA";3;-
"353400 ONDA VERDE";-;-
"353410 ORIENTE";-;-
"353420 ORINDIUVA";-;-
"353430 ORLANDIA";4;-
"353440 OSASCO";123;5
"353450 OSCAR BRESSANE";-;-
"353460 OSVALDO CRUZ";3;-
"353470 OURINHOS";16;-
"353475 OUROESTE";1;-
"353480 OURO VERDE";3;-
"353490 PACAEMBU";-;-
"353500 PALESTINA";2;-
"353510 PALMARES PAULISTA";-;-
"353520 PALMEIRA D'OESTE";-;-
"353530 PALMITAL";2;-
"353540 PANORAMA";5;-
"353550 PARAGUACU PAULISTA";7;-
"353560 PARAIBUNA";5;-
"353570 PARAISO";1;-
"353580 PARANAPANEMA";5;-
"353590 PARANAPUA";-;-
"353600 PARAPUA";3;-
"353610 PARDINHO";-;-
"353620 PARIQUERA-ACU";3;-
"353625 PARISI";-;-
"353630 PATROCINIO PAULISTA";3;-
"353640 PAULICEIA";2;-
"353650 PAULINIA";6;-
"353657 PAULISTANIA";-;-
"353660 PAULO DE FARIA";1;-
"353670 PEDERNEIRAS";9;-
"353680 PEDRA BELA";-;-
"353690 PEDRANOPOLIS";-;-
"353700 PEDREGULHO";3;-
"353710 PEDREIRA";6;-
"353715 PEDRINHAS PAULISTA";-;-
"353720 PEDRO DE TOLEDO";3;-
"353730 PENAPOLIS";11;1
"353740 PEREIRA BARRETO";3;-
"353750 PEREIRAS";1;-
"353760 PERUIBE";23;1
"353770 PIACATU";-;-
"353780 PIEDADE";12;-
"353790 PILAR DO SUL";6;-
"353800 PINDAMONHANGABA";17;-
"353810 PINDORAMA";1;-
"353820 PINHALZINHO";1;-
"353830 PIQUEROBI";1;-
"353850 PIQUETE";2;-
"353860 PIRACAIA";3;-
"353870 PIRACICABA";49;14
"353880 PIRAJU";4;-
"353890 PIRAJUI";3;-
"353900 PIRANGI";2;-
"353910 PIRAPORA DO BOM JESUS";-;-
"353920 PIRAPOZINHO";3;1
"353930 PIRASSUNUNGA";7;-
"353940 PIRATININGA";1;-
"353950 PITANGUEIRAS";12;-
"353960 PLANALTO";1;-
"353970 PLATINA";-;-
"353980 POA";12;-
"353990 POLONI";1;-
"354000 POMPEIA";2;-
"354010 PONGAI";-;-
"354020 PONTAL";5;-
"354025 PONTALINDA";-;-
"354030 PONTES GESTAL";-;-
"354040 POPULINA";1;-
"354050 PORANGABA";1;-
"354060 PORTO FELIZ";6;-
"354070 PORTO FERREIRA";8;1
"354075 POTIM";-;-
"354080 POTIRENDABA";1;-
"354085 PRACINHA";-;-
"354090 PRADOPOLIS";1;-
"354100 PRAIA GRANDE";62;2
"354105 PRATANIA";2;-
"354110 PRESIDENTE ALVES";-;-
"354120 PRESIDENTE BERNARDES";4;-
"354130 PRESIDENTE EPITACIO";4;-
"354140 PRESIDENTE PRUDENTE";26;1
"354150 PRESIDENTE VENCESLAU";9;-
"354160 PROMISSAO";6;-
"354165 QUADRA";-;-
"354170 QUATA";3;-
"354180 QUEIROZ";-;-
"354190 QUELUZ";2;-
"354200 QUINTANA";1;-
"354210 RAFARD";1;-
"354220 RANCHARIA";5;1
"354230 REDENCAO DA SERRA";-;-
"354240 REGENTE FEIJO";4;-
"354250 REGINOPOLIS";2;-
"354260 REGISTRO";13;-
"354270 RESTINGA";-;-
"354280 RIBEIRA";1;-
"354290 RIBEIRAO BONITO";3;-
"354300 RIBEIRAO BRANCO";9;-
"354310 RIBEIRAO CORRENTE";-;-
"354320 RIBEIRAO DO SUL";2;-
"354323 RIBEIRAO DOS INDIOS";-;-
"354325 RIBEIRAO GRANDE";-;-
"354330 RIBEIRAO PIRES";25;-
"354340 RIBEIRAO PRETO";85;2
"354350 RIVERSUL";3;-
"354360 RIFAINA";2;-
"354370 RINCAO";-;-
"354380 RINOPOLIS";2;-
"354390 RIO CLARO";31;6
"354400 RIO DAS PEDRAS";3;-
"354410 RIO GRANDE DA SERRA";14;-
"354420 RIOLANDIA";-;-
"354425 ROSANA";3;-
"354430 ROSEIRA";-;-
"354440 RUBIACEA";2;-
"354450 RUBINEIA";1;-
"354460 SABINO";1;-
"354470 SAGRES";1;-
"354480 SALES";2;-
"354490 SALES OLIVEIRA";-;-
"354500 SALESOPOLIS";3;-
"354510 SALMOURAO";1;-
"354515 SALTINHO";-;-
"354520 SALTO";24;2
"354530 SALTO DE PIRAPORA";9;-
"354540 SALTO GRANDE";3;-
"354550 SANDOVALINA";3;-
"354560 SANTA ADELIA";4;-
"354570 SANTA ALBERTINA";1;-
"354580 SANTA BARBARA D'OESTE";17;-
"354600 SANTA BRANCA";4;-
"354610 SANTA CLARA D'OESTE";1;-
"354620 SANTA CRUZ DA CONCEICAO";1;-
"354625 SANTA CRUZ DA ESPERANCA";-;-
"354630 SANTA CRUZ DAS PALMEIRAS";4;-
"354640 SANTA CRUZ DO RIO PARDO";8;-
"354650 SANTA ERNESTINA";-;-
"354660 SANTA FE DO SUL";8;-
"354670 SANTA GERTRUDES";2;-
"354680 SANTA ISABEL";15;-
"354690 SANTA LUCIA";-;-
"354700 SANTA MARIA DA SERRA";3;-
"354710 SANTA MERCEDES";-;-
"354720 SANTANA DA PONTE PENSA";-;-
"354730 SANTANA DE PARNAIBA";15;-
"354740 SANTA RITA D'OESTE";-;-
"354750 SANTA RITA DO PASSA QUATRO";5;-
"354760 SANTA ROSA DE VITERBO";2;-
"354765 SANTA SALETE";-;-
"354770 SANTO ANASTACIO";6;-
"354780 SANTO ANDRE";117;2
"354790 SANTO ANTONIO DA ALEGRIA";1;-
